,Line,Group,Left,Right,ref_transcript,hyp_transcript,asr_hyp,interview_name,diff_name,diff_typ
3916,6469,and <-> i,and , i,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
3917,6979,a <-> ***,a , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
3918,7146,i <-> they,i , they,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
3919,7339,s <-> ***,s , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
3920,7374,i <-> i've,i , i've,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
3921,7734,the <-> a,the , a,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
3922,7748,mom <-> mama,mom , mama,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_lexical,morpho_syntax
3923,1758,and that'd have <-> that would've,and that'd have , that would've,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_contraction,reductions
3924,2460,wha- how did <-> what how'd,wha- how did , what how'd,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_contraction,reductions
3925,2465,why did <-> why'd,why did , why'd,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_contraction,reductions
3926,5899,go-where's <-> go where is,go-where's , go where is,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_contraction,reductions
3927,6349,what'd <-> what did,what'd , what did,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,is_contraction,reductions
3928,198,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3929,258,mm <-> mm-hmm,mm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3930,498,mm <-> um,mm , um,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3931,675,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3932,697,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3933,730,mm-mm <-> uh-uh,mm-mm , uh-uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3934,750,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3935,812,mm <-> mm-hmm,mm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3936,853,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3937,1082,mm-mm <-> uh-uh,mm-mm , uh-uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3938,1127,mm-mm <-> uh-uh,mm-mm , uh-uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3939,1206,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3940,1331,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3941,1503,mm-mm <-> mm-hmm,mm-mm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3942,1886,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3943,1979,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3944,2145,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3945,2208,um <-> uh,um , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3946,3459,um <-> uh,um , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3947,3643,um <-> uh,um , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3948,3725,mm-mm <-> mm-hmm,mm-mm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3949,3966,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3950,4081,uh <-> oh,uh , oh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3951,4171,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3952,4243,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3953,4355,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3954,4651,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3955,4761,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3956,4934,mm-hm <-> uh-uh,mm-hm , uh-uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3957,5248,mm <-> mm-hmm,mm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3958,5287,mm-mm <-> uh-uh,mm-mm , uh-uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3959,5368,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3960,5720,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3961,5923,um <-> uh,um , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3962,6256,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3963,6301,um <-> uh,um , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3964,6347,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3965,6413,mm-mm <-> uh-uh,mm-mm , uh-uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3966,6440,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3967,6533,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3968,7062,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3969,7081,um <-> uh,um , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3970,7257,um <-> uh,um , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3971,7593,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3972,7698,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3973,7793,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_sub,verbatim
3974,507,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3975,509,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3976,614,*** <-> uh,*** , uh,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3977,775,mm <-> ***,mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3978,1109,oh <-> ***,oh , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3979,1410,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3980,1415,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3981,1756,mm <-> ***,mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3982,1780,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3983,2029,mm <-> ***,mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3984,2115,oh <-> ***,oh , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3985,2259,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3986,2363,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3987,2548,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3988,2607,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3989,2613,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3990,2773,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3991,3121,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3992,3175,mm <-> ***,mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3993,3265,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3994,3343,uh <-> ***,uh , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3995,3617,oh <-> ***,oh , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3996,3951,uh <-> ***,uh , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3997,4109,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3998,4224,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
3999,4953,hm <-> ***,hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4000,5617,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4001,5678,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4002,6010,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4003,6056,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4004,6071,mm <-> ***,mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4005,6099,mm-mm <-> ***,mm-mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4006,6228,oh <-> ***,oh , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4007,6513,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4008,6523,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4009,7540,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4010,7542,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4011,7627,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4012,7629,mm-mm <-> ***,mm-mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4013,7738,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4014,7761,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4015,7769,mm <-> ***,mm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4016,7891,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4017,7895,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,filler_del,verbatim
4018,722,there i- <-> ***,there i- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4019,866,a- <-> ***,a- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4020,993,h- <-> ***,h- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4021,1077,he- <-> ***,he- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4022,1459,g- m- <-> ***,g- m- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4023,1752,i- <-> ***,i- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4024,2478,y- <-> ***,y- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4025,3116,er- <-> ***,er- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4026,3405,i- <-> ***,i- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4027,3448,the- <-> ***,the- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4028,4086,t- <-> ***,t- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4029,4115,m-e- <-> ***,m-e- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4030,4392,ha- <-> ***,ha- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4031,4554,d- <-> ***,d- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4032,5475,sk- <-> ***,sk- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4033,5773,co- <-> ***,co- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4034,5820,k- <-> ***,k- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4035,6085,ma- <-> ***,ma- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4036,6580,i- <-> ***,i- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4037,6613,l- <-> ***,l- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4038,6702,s- <-> ***,s- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4039,6952,gl- <-> ***,gl- , ***,aa-rev,coraal,False,VLD_se0_ag4_f_02_1,del_restart,verbatim
4040,2442,*** <-> are,*** , are,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,cop_aux_del_19a,morpho_syntax
4041,550,*** <-> do,*** , do,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,invariant_be_19b,morpho_syntax
4042,820,do <-> ***,do , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,invariant_be_19b,morpho_syntax
4043,2445,*** <-> do,*** , do,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,invariant_be_19b,morpho_syntax
4044,2157,it <-> it'll,it , it'll,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,future_ll_del_19c,morpho_syntax
4045,4131,i <-> i'll,i , i'll,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,future_ll_del_19c,morpho_syntax
4046,2423,sound <-> sounds,sound , sounds,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,final_s_del_20a_21b,morpho_syntax
4047,4679,introductions <-> introduction,introductions , introduction,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,final_s_del_20a_21b,morpho_syntax
4048,4324,it <-> ***,it , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,add_pronoun_21d,morpho_syntax
4049,318,*** <-> if,*** , if,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,if_whether_del_23b,morpho_syntax
4050,907,it's <-> there's,it's , there's,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,it_there_sub_24a,morpho_syntax
4051,4260,it's <-> there's,it's , there's,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,it_there_sub_24a,morpho_syntax
4052,271,gonna <-> might,gonna , might,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4053,1158,cause <-> and,cause , and,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4054,1418,cause <-> 'cause,cause , 'cause,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4055,1952,cause <-> because,cause , because,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4056,2391,cause <-> because,cause , because,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4057,3195,gonna <-> don't wanna,gonna , don't wanna,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4058,3498,gotta <-> got a,gotta , got a,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4059,3504,*** <-> wanna,*** , wanna,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4060,3703,cause <-> because,cause , because,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4061,3789,cause <-> 'cause,cause , 'cause,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_red_form,morpho_syntax
4062,242,*** <-> a,*** , a,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4063,1798,i <-> i've,i , i've,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4064,1823,a <-> the,a , the,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4065,1919,w <-> ***,w , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4066,2068,i've <-> i,i've , i,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4067,2139,uh <-> a,uh , a,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4068,2307,*** <-> a,*** , a,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4069,3161,i <-> i'm,i , i'm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4070,3475,*** <-> a,*** , a,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4071,3724,a <-> ***,a , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4072,4204,a <-> some,a , some,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4073,4207,brazy <-> ***,brazy , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4074,4264,a <-> the,a , the,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4075,4494,a <-> an,a , an,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_lexical,morpho_syntax
4076,3143,and these- psh tomorrow is <-> it needs to tomorrow's,and these- psh tomorrow is , it needs to tomorrow's,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_contraction,reductions
4077,3291,pay is <-> paid's,pay is , paid's,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_contraction,reductions
4078,4496,guy is <-> guy's,guy is , guy's,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_contraction,reductions
4079,136,um <-> uh,um , uh,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4080,158,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4081,282,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4082,578,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4083,590,uh <-> um,uh , um,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4084,619,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4085,734,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4086,827,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4087,934,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4088,1095,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4089,1115,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4090,1151,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4091,1435,kay <-> okay,kay , okay,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4092,1503,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4093,1563,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4094,1724,mm <-> mm-hmm,mm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4095,1874,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4096,1966,mm <-> mm-hmm,mm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4097,2041,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4098,2054,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4099,2420,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4100,2580,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4101,2643,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4102,3111,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4103,3260,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4104,3400,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4105,3965,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4106,3988,um <-> uh,um , uh,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4107,4384,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4108,4813,mm-hm <-> mm-hmm,mm-hm , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_sub,verbatim
4109,203,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4110,248,oh <-> ***,oh , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4111,375,mm <-> ***,mm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4112,800,mm <-> ***,mm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4113,1769,*** <-> mm-hmm,*** , mm-hmm,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4114,1917,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4115,2865,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4116,2956,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4117,3050,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4118,3092,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4119,3314,ooh <-> ***,ooh , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4120,3376,okay <-> ***,okay , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4121,3471,mm <-> ***,mm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4122,3615,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4123,3754,mm-hm <-> ***,mm-hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4124,4150,*** <-> okay,*** , okay,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4125,4419,hm <-> ***,hm , ***,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,filler_del,verbatim
4126,766,choir <-> choir-,choir , choir-,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_restart,verbatim
4127,1735,like <-> like-,like , like-,aa-rev,coraal,False,ATL_se0_ag1_f_03_1,is_restart,verbatim
